sha256,first_relative_path,reused_by,source_page_url,notes
e63f328bf823c932eceed3777b1e9efe8cba846d8a7371ebabb6aa0cddc384c2,assets/downloaded/ch08/text1_loose/ch08_s001_r1_bayesian-optimization-active-learning-loop-a.jpg,ch08:s007;ch08:s044;ch08:s050;ch08:s075;ch08:s082;ch08:s083;ch08:s084;ch08:s085;ch08:s095,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8.1+AI%E4%BB%A3%E7%90%86%E6%A6%82%E5%BF%B5%EF%BC%9A%E4%BB%8E%E6%A8%A1%E5%9E%8B%E5%88%B0%E8%A1%8C%E5%8A%A8%E7%B3%BB%E7%BB%9F,loose duplicate
59fa5960f9eb354655a7813a308b3097b8114cca3623a475622dfef6165d8fb0,assets/downloaded/ch08/text1_loose/ch08_s011_r1_bayesian-optimization-active-learning-loop-a.jpg,ch08:s014;ch08:s016;ch08:s017;ch08:s027;ch08:s087;ch08:s089;ch08:s091;ch08:s097,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8.1.7+%E5%8F%8D%E9%A6%88%EF%BC%9A%E9%97%AD%E7%8E%AF%E7%B3%BB%E7%BB%9F%E7%9A%84%E6%A0%B8%E5%BF%83,loose duplicate
fa69056db45c23b4f7adaf148d765316e6884089d85b5736c9eb6c3055b6b247,assets/downloaded/ch06/text1_loose/ch06_s043_r1_neural-network-architecture-transformer-atte.jpg,ch08:s018,https://www.bing.com/images/search?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8.2+LLM+%2B+%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%EF%BC%9A%E4%BB%8E%E6%96%87%E6%9C%AC%E5%88%B0%E5%8F%AF%E6%89%A7%E8%A1%8C%E4%BB%BB%E5%8A%A1,loose duplicate
268b46cc1584b80972f72688c618f694a69400b4d6c1821a3030033466312035,assets/downloaded/ch08/text1_loose/ch08_s025_r1_ai-agent-bayesian-optimization-active-learni.jpg,ch08:s028;ch08:s061;ch08:s062,https://www.bing.com/images/search?q=AI+agent+Bayesian+optimization+active+learning+loop+8.2.10+%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%E7%BB%93%E6%9E%9C%E7%9A%84%E9%AA%8C%E8%AF%81+concept+diagram+open+educational+resource+8.2.10+%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%E7%BB%93%E6%9E%9C%E7%9A%84%E9%AA%8C%E8%AF%81,loose duplicate
917ae2edd00a07c2c58acd2c365605f8da8036ec257062d905dff51fd73b05b6,assets/downloaded/ch05/text1_loose/ch05_s075_r1_retrieval-augmented-generation-workflow-vect.jpg,ch09:s010;ch09:s039;ch10:s028;ch10:s038;ch10:s092;ch10:s096,https://www.bing.com/images/search?q=retrieval+augmented+generation+workflow+vector+database+knowledge+graph+diagram+materials+database+high-throughput+materials+design+workflow+9.1.3+%E6%9D%90%E6%96%99%E6%95%B0%E6%8D%AE%E7%94%9F%E5%91%BD%E5%91%A8%E6%9C%9F,loose duplicate
17928f20603a60978dff0c3ebf63417c69d7aa9155de44023b085c7f8c1a4d1d,assets/downloaded/ch09/text1_loose/ch09_s013_r1_materials-database-high-throughput-materials.jpg,ch09:s018;ch09:s023;ch09:s029;ch09:s033;ch09:s036;ch09:s037;ch09:s038;ch09:s053;ch09:s055;ch09:s065;ch09:s068;ch09:s069;ch09:s070;ch09:s080;ch09:s083;ch09:s088;ch09:s089;ch09:s094;ch09:s097;ch09:s098;ch09:s103;ch09:s105;ch09:s110,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+materials+database+high-throughput+materials+design+workflow+9.1.11+%E6%A1%88%E4%BE%8B%EF%BC%9A%E6%98%BE%E5%BE%AE%E7%BB%84%E7%BB%87%E5%9B%BE%E5%83%8F%E6%95%B0%E6%8D%AE%E9%87%87%E9%9B%86,loose duplicate
d8f712c4a3fe6ec6bb899f0206af5207e21e1b712955cab13c6c645f88bcb362,assets/downloaded/ch09/text1_loose/ch09_s005_r1_materials-database-high-throughput-materials.jpg,ch09:s049;ch09:s092,https://www.bing.com/images/search?q=materials+database+high-throughput+materials+design+workflow+9.3.7+OQMD+REST+API+%E6%80%9D%E8%B7%AF+concept+diagram+open+educational+resource+9.3.7+OQMD+REST+API+%E6%80%9D%E8%B7%AF,loose duplicate
eb64886c79e703ea1d4f14240defaef319ef8414208cc705185446a0d453b0f4,assets/downloaded/ch09/text1_loose/ch09_s071_r1_materials-informatics-calphad-phase-diagram.jpg,ch09:s073,https://www.bing.com/images/search?q=materials+informatics+CALPHAD+phase+diagram+high-throughput+materials+design+materials+database+high-throughput+materials+design+workflow+9.4.14+%E9%AB%98%E9%80%9A%E9%87%8F%E8%AE%BE%E8%AE%A1%E4%B8%AD%E7%9A%84%E7%BA%A6%E6%9D%9F,loose duplicate
2731d0b323a999411d2c9fb21d0b7027e98eace1d38e8583e414f7f40d045881,assets/downloaded/ch10/text1_loose/ch10_s012_r1_trustworthy-ai-data-security-privacy-fairnes.jpg,ch10:s024;ch10:s025;ch10:s062;ch10:s063;ch10:s065;ch10:s106,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+fairness+explainability+workflow+%E4%BA%BA%E7%B1%BB%E7%9B%91%E7%9D%A3%EF%BC%9A%E4%B8%8D%E6%98%AF%E5%BD%A2%E5%BC%8F%E8%A6%81%E6%B1%82+concept+diagram+open+educational+resource+%E4%BA%BA%E7%B1%BB%E7%9B%91%E7%9D%A3%EF%BC%9A%E4%B8%8D%E6%98%AF%E5%BD%A2%E5%BC%8F%E8%A6%81%E6%B1%82,loose duplicate
d64a31f85e049376f102c4e78d55cc6679ea4ec4f346855cda0665f25a5f6f75,assets/downloaded/ch10/text1_loose/ch10_s029_r1_trustworthy-ai-data-security-privacy-fairnes.jpg,ch10:s036;ch10:s049,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+fairness+explainability+workflow+%E5%8A%A0%E5%AF%86%E3%80%81%E5%93%88%E5%B8%8C%E4%B8%8E%E7%AD%BE%E5%90%8D+concept+diagram+open+educational+resource+%E5%8A%A0%E5%AF%86%E3%80%81%E5%93%88%E5%B8%8C%E4%B8%8E%E7%AD%BE%E5%90%8D,loose duplicate
256bed75e8d356ff49b902db8a876e1c62f8642f13c5f53cb4a1f6d8f314513f,assets/downloaded/ch10/text1_loose/ch10_s040_r1_trustworthy-ai-data-security-privacy-fairnes.jpg,ch10:s043;ch10:s099,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+fairness+explainability+workflow+10.3+AI%E7%A7%91%E7%A0%94%E5%BA%94%E7%94%A8%E4%B8%AD%E7%9A%84%E7%89%88%E6%9D%83%E3%80%81%E7%BD%B2%E5%90%8D%E4%B8%8E%E5%AD%A6%E6%9C%AF%E8%A7%84%E8%8C%83+concept+diagram+open+educational+resource+10.3+AI%E7%A7%91%E7%A0%94%E5%BA%94%E7%94%A8%E4%B8%AD%E7%9A%84%E7%89%88%E6%9D%83%E3%80%81%E7%BD%B2%E5%90%8D%E4%B8%8E%E5%AD%A6%E6%9C%AF%E8%A7%84%E8%8C%83,loose duplicate
69fd63ab8f6a2b856eb10b35f1196520105fcc0b7c7d7e7e260ffc79a1e3f8ae,assets/downloaded/ch10/text1_loose/ch10_s016_r1_materials-microstructure-recognition-microsc.jpg,ch10:s044;ch10:s050;ch10:s082;ch10:s097,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+trustworthy+AI+data+security+privacy+fairness+explainability+workflow+10.3.1+AI%E8%BE%85%E5%8A%A9%E7%A7%91%E7%A0%94%E7%9A%84%E5%B8%B8%E8%A7%81%E7%94%A8%E9%80%94,loose duplicate
bf8053b4588377548608c3322df1722206dc45d9e55cc074b6d57daea60e8ce7,assets/downloaded/ch10/text1_loose/ch10_s048_r1_trustworthy-ai-data-security-privacy-fairnes.jpg,ch10:s053,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+fairness+explainability+workflow+%E6%8E%A8%E8%8D%90%E7%9A%84AI%E4%BD%BF%E7%94%A8%E8%AE%B0%E5%BD%95%E8%A1%A8+concept+diagram+open+educational+resource+%E6%8E%A8%E8%8D%90%E7%9A%84AI%E4%BD%BF%E7%94%A8%E8%AE%B0%E5%BD%95%E8%A1%A8,loose duplicate
a848c82a9c98242e7a3ed36a3578772b6fc85d6c82db5a4fd9a6ccab01e65640,assets/downloaded/ch10/text1_loose/ch10_s015_r1_materials-microstructure-recognition-microsc.jpg,ch10:s067;ch10:s068;ch10:s085;ch10:s104;ch10:s107,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+trustworthy+AI+data+security+privacy+fairness+explainability+workflow+%E5%8F%8D%E4%BA%8B%E5%AE%9E%E8%A7%A3%E9%87%8A,loose duplicate
